ISSUE DATE,YEAR,MONTH,TYPE,DESCRIPTION,ADDRESS,VALUATION
,,,COM,COMMERCIAL ALTERATION/REMODEL,"124 SW 8TH ST Bentonville, AR 72712","$39,830"
,,,COM,COMMERCIAL ALTERATION/REMODEL,"3001 SE J ST Bentonville, AR 72712","$341,500"
,,,COM,COMMERCIAL ALTERATION/REMODEL,"3301 S WALTON BLVD STE 1 Bentonville, AR 72712","$148,000"
,,,COM,COMMERCIAL ALTERATION/REMODEL,"805 MCCLAIN RD STE 8002 Bentonville, AR 72712","$50,594"
,,,COM,COMMERCIAL ALTERATION/REMODEL,"901 MCCLAIN RD STE 7 Bentonville, AR 72712","$142,204"
,,,COM,NEW STORES AND CUSTOMER SERVICES,"1327 S MAIN ST Bentonville, AR 72712","$839,840"
,,,COM,NEW STORES AND CUSTOMER SERVICES,"1335 S MAIN ST Bentonville, AR 72712","$375,840"
,,,RES,ACCESSORY STRUCTURE,"2301 SW CLOVER CT Bentonville, AR 72712","$5,000"
,,,RES,DEMO SFD,"907 N MAIN ST Bentonville, AR 72712","$1,140"
,,,RES,MISCELLANEOUS,"2005 ALMAND DR Bentonville, AR 72712","$30,000"
,,,RES,MISCELLANEOUS,"212 SW O ST Bentonville, AR 72712","$8,000"
,,,RES,MISCELLANEOUS,"4202 SW BUCKEYE ST Bentonville, AR 72712","$1,800"
,,,RES,NEW DUPLEX,"3004 SW AMBERWOOD AVE Bentonville, AR 72712","$307,046"
,,,RES,NEW SINGLE FAMILY DETACHED,"1503 NW SANTORINI LN Bentonville, AR 72712","$391,270"
,,,RES,NEW SINGLE FAMILY DETACHED,"3002 NW NIAGRA LN Bentonville, AR 72712","$366,722"
,,,RES,NEW SINGLE FAMILY DETACHED,"410 NW 7TH ST DEMO Bentonville, AR 72712","$312,764"
,,,RES,NEW SINGLE FAMILY DETACHED,"410 NW A ST Bentonville, AR 72712","$596,984"
,,,RES,NEW SINGLE FAMILY DETACHED,"412 SE D ST Bentonville, AR 72712","$424,006"
,,,RES,NEW SINGLE FAMILY DETACHED,"4210 SW COMSTOCK AVE Bentonville, AR 72712","$183,429"
,,,RES,NEW SINGLE FAMILY DETACHED,"4304 SW HOLLYHOCK ST Bentonville, AR 72712","$216,046"
,,,RES,NEW SINGLE FAMILY DETACHED,"4403 SW LAUREL HILL AVE Bentonville, AR 72712","$183,429"
,,,RES,NEW SINGLE FAMILY DETACHED,"4407 SW LAYTON RD Bentonville, AR 72712","$216,046"
,,,RES,NEW SINGLE FAMILY DETACHED,"5005 SW ENERGY AVE Bentonville, AR 72712","$282,627"
,,,RES,NEW SINGLE FAMILY DETACHED,"5009 SW ENERGY AVE Bentonville, AR 72712","$282,627"
,,,RES,NEW SINGLE FAMILY DETACHED,"602 NE A ST Bentonville, AR 72712","$529,706"
,,,RES,NEW SINGLE FAMILY DETACHED,"6201 SW WARRINGTON RD Bentonville, AR 72712","$203,989"
,,,RES,NEW SINGLE FAMILY DETACHED,"6401 SW CHESTNUT HILL RD Bentonville, AR 72712","$241,639"
,,,RES,NEW SINGLE FAMILY DETACHED,"6405 SW CHESTNUT HILL RD Bentonville, AR 72712","$317,425"
,,,RES,NEW SINGLE FAMILY DETACHED,"6407 SW CHESTNUT HILL RD Bentonville, AR 72712","$326,154"
,,,RES,NEW SINGLE FAMILY DETACHED,"711 SW GREEN WORLD ST Bentonville, AR 72712","$282,627"
,,,RES,NEW SINGLE FAMILY DETACHED,"805 KINGS DR Bentonville, AR 72712","$364,591"
,,,RES,NEW SINGLE FAMILY DETACHED,"900 SW LOUDON DR Bentonville, AR 72712","$201,175"
,,,RES,NEW SINGLE FAMILY DETACHED,"901 SW LOUDON DR Bentonville, AR 72712","$252,503"
